Time,CPU Usage
42243.986325,22.7
42243.986337,22.5
42243.986348,22.1
42243.986360,21.8
42243.986371,22.2
42243.986383,22.5
42243.986395,21.6
42243.986406,14.2
42243.986418,0.1
42243.986429,0.1
42243.986441,0.1
42243.986453,0.1
42243.986464,16.2
42243.986476,26.3
42243.986487,0.2
42243.986499,0.1
42243.986511,0.1
42243.986522,6.2
42243.986534,0.1
42243.986546,0.1
42243.986557,0.1
42243.986569,0.1
42243.986580,8.2
42243.986592,22.1
42243.986604,22.6
42243.986615,21.9
42243.986627,21.7
42243.986638,21.4
42243.986650,22.0
42243.986662,21.9
42243.986673,21.6
42243.986685,22.1
42243.986696,22.0
42243.986708,16.3
42243.986720,21.9
42243.986731,22.7
42243.986743,23.4
42243.986754,22.6
42243.986766,22.6
42243.986778,23.6
42243.986789,23.0
42243.986801,22.1
42243.986813,22.4
42243.986824,23.1
42243.986836,23.4
42243.986847,22.7
42243.986859,21.9
42243.986871,22.9
42243.986882,22.5
42243.986894,22.0
42243.986905,22.3
42243.986917,22.0
42243.986929,22.3
42243.986940,22.6
42243.986952,22.2
42243.986963,23.3
42243.986975,22.8
42243.986987,22.5
42243.986998,21.9
42243.987010,23.1
42243.987021,22.6
42243.987033,22.1
42243.987045,23.5
42243.987056,22.1
42243.987068,22.3
42243.987079,22.1
42243.987091,22.8
42243.987103,22.1
42243.987230,23.3
42243.987277,23.1
42243.987401,18.0
42243.987528,22.9
42243.987656,22.8
42243.987783,22.7
42243.987811,21.1
42243.987820,20.5
42243.987947,22.8
42243.988060,22.3
42243.988136,18.6
42243.988147,11.3
42243.988159,19.0
42243.988170,20.7
42243.988182,20.8
42243.988194,21.5
42243.988205,19.5
42243.988217,20.6
42243.988229,21.0
42243.988240,19.7
42243.988252,16.1
42243.988263,13.7
42243.988275,20.1
42243.988287,22.7
42243.988298,23.3
42243.988310,21.0
42243.988321,20.2
42243.988333,22.0
42243.988345,21.1
42243.988356,21.5
42243.988368,21.2
42243.988379,21.5
42243.988391,20.5
42243.988403,20.6
42243.988414,21.4
42243.988426,21.5
42243.988438,22.0
42243.988449,19.9
42243.988461,22.1
42243.988472,22.2
42243.988484,21.7
42243.988496,22.0
42243.988507,21.4
42243.988519,22.1
42243.988530,21.4
42243.988542,21.8
42243.988554,22.7
42243.988565,21.5
42243.988577,21.2
42243.988588,21.2
42243.988600,21.9
42243.988612,20.7
42243.988623,22.8
42243.988635,21.9
42243.988646,21.4
42243.988658,21.5
42243.988670,21.4
42243.988681,22.4
42243.988693,20.6
42243.988704,21.1
42243.988716,21.9
42243.988728,20.4
42243.988739,22.9
42243.988751,21.4
42243.988763,21.9
42243.988774,21.9
42243.988786,21.1
42243.988797,22.0
42243.988809,22.5
42243.988821,21.0
42243.988832,21.3
42243.988960,21.5
42243.989055,21.9
42243.989066,22.5
42243.989193,22.9
42243.989265,22.2
42243.989279,16.8
42243.989293,16.8
42243.989300,18.6
42243.989310,21.3
42243.989329,19.9
42243.989342,18.2
42243.989356,18.5
42243.989448,18.6
42243.989461,13.6
42243.989471,10.2
42243.989482,15.1
42243.989494,15.2
42243.989506,18.4
42243.989517,7.9
42243.989529,12.5
42243.989540,12.5
42243.989552,20.9
42243.989564,22.0
42243.989575,19.5
42243.989587,21.4
42243.989598,23.0
42243.989610,22.6
42243.989622,21.5
42243.989633,19.2
42243.989645,18.4
42243.989657,20.4
42243.989668,21.5
42243.989680,22.9
42243.989692,21.9
42243.989703,21.7
42243.989715,21.1
42243.989727,22.2
42243.989738,21.7
42243.989750,22.0
42243.989761,21.7
42243.989773,21.7
42243.989785,22.5
42243.989796,22.6
42243.989808,22.1
42243.989819,22.0
42243.989831,21.8
42243.989843,21.9
42243.989854,21.4
42243.989866,22.9
42243.989994,22.6
42243.990068,22.1
42243.990137,20.6
42243.990224,18.7
42243.990232,18.1
42243.990276,21.0
42243.990284,21.8
42243.990296,21.9
42243.990311,15.0
42243.990437,20.0
42243.990564,22.1
42243.990637,19.3
42243.990764,18.4
42243.990819,19.4
42243.990949,19.7
42243.991074,20.8
42243.991201,22.1
42243.991329,20.6
42243.991456,22.7
42243.991583,22.4
42243.991710,22.8
42243.991768,18.3
42243.991780,14.6
42243.991817,14.5
42243.991830,22.2
42243.991841,16.1
42243.991967,21.8
42243.992002,22.8
42243.992129,22.9
42243.992257,23.1
42243.992384,23.1
42243.992464,22.0
42243.992537,0.2
42243.992609,0.9
42243.992736,18.1
42243.992863,22.6
42243.992991,22.9
42243.993118,23.3
42243.993245,23.0
42243.993373,23.1
42243.993500,23.1
42243.993627,22.4
42243.993754,22.8
42243.993882,23.0
42243.993911,23.0
42243.994038,22.6
42243.994165,23.2
42243.994293,23.2
42243.994335,22.7
42243.994462,23.1
42243.994590,23.1
42243.994717,22.7
42243.994844,22.2
42243.994941,22.6
42243.994992,18.1
42243.995120,22.1
42243.995167,22.3
42243.995293,22.7
42243.995306,16.9
42243.995395,21.4
42243.995426,20.7
42243.995438,17.8
42243.995565,21.0
42243.995693,22.6
42243.995820,22.8
42243.995947,22.4
42243.996075,22.9
42243.996202,22.5
42243.996329,22.8
42243.996457,23.1
42243.996584,22.9
42243.996711,22.3
42243.996839,22.8
42243.996966,22.8
42243.997094,22.7
42243.997221,22.8
42243.997348,23.1
42243.997384,23.0
42243.997511,22.6
42243.997558,22.7
42243.997684,23.0
42243.997812,22.1
42243.997939,22.3
42243.998066,23.1
42243.998182,22.4
42243.998257,0.1
42243.998315,0.2
42243.998442,16.4
42243.998465,22.6
42243.998563,22.8
42243.998581,19.2
42243.998707,20.6
42243.998835,21.6
42243.998962,22.6
42243.999033,22.3
42243.999160,22.3
42243.999288,21.8
42243.999415,21.7
42243.999542,22.1
42243.999670,22.4
42243.999797,21.7
42243.999924,22.2
42243.999981,23.2
42244.000005,20.9
42244.000128,22.4
42244.000255,22.3
42244.000383,22.8
42244.000510,22.7
42244.000585,21.9
42244.000712,22.7
42244.000839,23.0
42244.000856,23.4
42244.000983,22.8
42244.001029,22.9
42244.001156,23.4
